id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
502,1,0,6,127,1,2,-1,-1,2
503,0,1,6,126,-1,18,-1,-1,0
504,1,0,6,126,1,4,-1,-1,3
505,1,0,6,127,1,2,-1,-1,2
506,0,1,6,126,-1,18,-1,-1,0
507,1,0,6,126,1,4,-1,-1,3
508,1,0,6,127,1,2,-1,-1,2
509,0,1,6,127,-1,18,-1,-1,0
510,1,0,6,127,1,4,-1,-1,3
511,1,0,6,129,1,2,-1,-1,2
512,0,1,6,129,-1,18,-1,-1,0
513,1,0,6,129,1,4,-1,-1,3
514,1,0,6,126,1,2,-1,-1,2
515,0,1,6,126,-1,18,-1,-1,0
516,1,0,6,126,1,4,-1,-1,3
517,1,0,6,133,1,2,-1,-1,2
518,0,1,6,133,-1,18,-1,-1,0
519,1,0,6,132,1,4,-1,-1,3
520,0,1,6,130,-1,18,-1,-1,0
521,1,0,6,129,1,4,-1,-1,3
522,1,0,6,129,1,2,-1,-1,2
523,1,0,6,126,1,2,-1,-1,2
524,0,1,6,126,-1,18,-1,-1,0
525,1,0,6,125,1,4,-1,-1,3
526,1,0,6,126,1,2,-1,-1,2
527,0,1,6,126,-1,18,-1,-1,0
528,1,0,6,125,1,4,-1,-1,3
529,1,0,6,128,1,2,-1,-1,2
530,0,1,6,128,-1,18,-1,-1,0
531,1,0,6,128,1,4,-1,-1,3
532,1,0,6,130,1,2,-1,-1,2
533,0,1,6,130,-1,18,-1,-1,0
534,1,0,6,130,1,4,-1,-1,3
535,1,0,6,129,1,2,-1,-1,2
536,0,1,6,129,-1,18,-1,-1,0
537,1,0,6,129,1,4,-1,-1,3
538,1,0,6,135,1,2,-1,-1,2
539,0,1,6,134,-1,18,-1,-1,0
540,1,0,6,134,1,4,-1,-1,3
541,1,0,6,130,1,2,-1,-1,2
542,0,1,6,130,-1,18,-1,-1,0
543,1,0,6,130,1,4,-1,-1,3
544,1,0,6,131,1,2,-1,-1,2
545,0,1,6,130,-1,18,-1,-1,0
546,1,0,6,130,1,4,-1,-1,3
547,1,0,6,132,1,2,-1,-1,2
548,0,1,6,132,-1,18,-1,-1,0
549,1,0,6,132,1,4,-1,-1,3
550,1,0,6,132,1,2,-1,-1,2
551,0,1,6,131,-1,18,-1,-1,0
552,1,0,6,131,1,4,-1,-1,3
553,1,0,6,129,1,2,-1,-1,2
554,0,1,6,129,-1,18,-1,-1,0
555,1,0,6,128,1,4,-1,-1,3
556,1,0,6,127,1,2,-1,-1,2
557,0,1,6,127,-1,18,-1,-1,0
558,1,0,6,127,1,4,-1,-1,3
559,1,0,6,132,1,2,-1,-1,2
560,0,1,6,132,-1,18,-1,-1,0
561,1,0,6,131,1,4,-1,-1,3
562,1,0,6,131,1,2,-1,-1,2
563,0,1,6,130,-1,18,-1,-1,0
564,1,0,6,130,1,4,-1,-1,3
565,1,0,6,134,1,2,-1,-1,2
566,0,1,6,133,-1,18,-1,-1,0
567,1,0,6,133,1,4,-1,-1,3
568,1,0,6,128,1,2,-1,-1,2
569,0,1,6,127,-1,18,-1,-1,0
570,1,0,6,127,1,4,-1,-1,3
571,1,0,6,134,1,2,-1,-1,2
572,0,1,6,134,-1,18,-1,-1,0
573,1,0,6,134,1,4,-1,-1,3
574,1,0,6,134,1,2,-1,-1,2
575,0,1,6,134,-1,18,-1,-1,0
576,1,0,6,133,1,4,-1,-1,3
577,1,0,6,134,1,2,-1,-1,2
578,0,1,6,134,-1,18,-1,-1,0
579,1,0,6,133,1,4,-1,-1,3
580,1,0,6,134,1,2,-1,-1,2
581,0,1,6,134,-1,18,-1,-1,0
582,1,0,6,134,1,4,-1,-1,3
583,1,0,6,133,1,2,-1,-1,2
584,0,1,6,132,-1,18,-1,-1,0
585,1,0,6,132,1,4,-1,-1,3
586,1,0,6,134,1,2,-1,-1,2
587,0,1,6,134,-1,18,-1,-1,0
588,1,0,6,133,1,4,-1,-1,3
589,1,0,6,133,1,2,-1,-1,2
590,0,1,6,133,-1,18,-1,-1,0
591,1,0,6,132,1,4,-1,-1,3
592,1,0,6,133,1,2,-1,-1,2
593,0,1,6,133,-1,18,-1,-1,0
594,1,0,6,133,1,4,-1,-1,3
595,1,0,6,132,1,2,-1,-1,2
596,0,1,6,132,-1,18,-1,-1,0
597,1,0,6,131,1,4,-1,-1,3
598,1,0,6,133,1,2,-1,-1,2
599,0,1,6,133,-1,18,-1,-1,0
600,1,0,6,133,1,4,-1,-1,3
601,1,0,6,137,1,2,-1,-1,2
602,0,1,6,137,-1,18,-1,-1,0
603,1,0,6,136,1,4,-1,-1,3
604,1,0,6,131,1,2,-1,-1,2
605,0,1,6,130,-1,18,-1,-1,0
606,1,0,6,130,1,4,-1,-1,3
607,1,0,6,131,1,2,-1,-1,2
608,0,1,6,130,-1,18,-1,-1,0
609,1,0,6,130,1,4,-1,-1,3
610,1,0,6,133,1,2,-1,-1,2
611,0,1,6,132,-1,18,-1,-1,0
612,1,0,6,132,1,4,-1,-1,3
613,1,0,6,136,1,2,-1,-1,2
614,0,1,6,136,-1,18,-1,-1,0
615,1,0,6,136,1,4,-1,-1,3
616,1,0,6,135,1,2,-1,-1,2
617,0,1,6,135,-1,18,-1,-1,0
618,1,0,6,134,1,4,-1,-1,3
619,1,0,6,137,1,2,-1,-1,2
620,0,1,6,137,-1,18,-1,-1,0
621,1,0,6,136,1,4,-1,-1,3
622,1,0,6,132,1,2,-1,-1,2
623,0,1,6,132,-1,18,-1,-1,0
624,1,0,6,131,1,4,-1,-1,3
625,1,0,6,139,1,2,-1,-1,2
626,0,1,6,139,-1,18,-1,-1,0
627,1,0,6,138,1,4,-1,-1,3
628,1,0,6,139,1,2,-1,-1,2
629,0,1,6,139,-1,18,-1,-1,0
630,1,0,6,138,1,4,-1,-1,3
631,1,0,6,136,1,2,-1,-1,2
632,0,1,6,136,-1,18,-1,-1,0
633,1,0,6,135,1,4,-1,-1,3
634,1,0,6,134,1,2,-1,-1,2
