id,dst_ip,src_ip,proto,count,port,flag,type,length,attack
605,0,1,1,234,-1,-1,0,-1,0
606,1,0,1,233,-1,-1,8,-1,1
607,0,1,1,219,-1,-1,0,-1,0
608,1,0,1,219,-1,-1,8,-1,1
609,0,1,1,224,-1,-1,0,-1,0
610,1,0,1,224,-1,-1,8,-1,1
611,0,1,1,231,-1,-1,0,-1,0
612,1,0,1,230,-1,-1,8,-1,1
613,1,0,1,231,-1,-1,8,-1,1
614,0,1,1,231,-1,-1,0,-1,0
615,0,1,1,221,-1,-1,0,-1,0
616,1,0,1,220,-1,-1,8,-1,1
617,1,0,1,224,-1,-1,8,-1,1
618,0,1,1,224,-1,-1,0,-1,0
619,0,1,1,226,-1,-1,0,-1,0
620,1,0,1,225,-1,-1,8,-1,1
621,1,0,1,233,-1,-1,8,-1,1
622,0,1,1,234,-1,-1,0,-1,0
623,1,0,1,232,-1,-1,8,-1,1
624,0,1,1,232,-1,-1,0,-1,0
625,0,1,1,221,-1,-1,0,-1,0
626,1,0,1,220,-1,-1,8,-1,1
627,0,1,1,222,-1,-1,0,-1,0
628,1,0,1,221,-1,-1,8,-1,1
629,1,0,1,229,-1,-1,8,-1,1
630,0,1,1,228,-1,-1,0,-1,0
631,1,0,1,187,-1,-1,8,-1,1
632,0,1,1,187,-1,-1,0,-1,0
633,0,1,1,228,-1,-1,0,-1,0
634,1,0,1,228,-1,-1,8,-1,1
635,1,0,1,223,-1,-1,8,-1,1
636,0,1,1,224,-1,-1,0,-1,0
637,0,1,1,215,-1,-1,0,-1,0
638,1,0,1,217,-1,-1,8,-1,1
639,1,0,1,233,-1,-1,8,-1,1
640,0,1,1,233,-1,-1,0,-1,0
641,1,0,1,232,-1,-1,8,-1,1
642,0,1,1,231,-1,-1,0,-1,0
643,1,0,1,266,-1,-1,8,-1,1
644,0,1,1,266,-1,-1,0,-1,0
645,1,0,1,134,-1,-1,8,-1,1
646,0,1,1,134,-1,-1,0,-1,0
647,1,0,1,300,-1,-1,8,-1,1
648,0,1,1,300,-1,-1,0,-1,0
649,0,1,1,293,-1,-1,0,-1,0
650,1,0,1,293,-1,-1,8,-1,1
651,1,0,1,296,-1,-1,8,-1,1
652,0,1,1,294,-1,-1,0,-1,0
653,1,0,1,291,-1,-1,8,-1,1
654,0,1,1,291,-1,-1,0,-1,0
655,1,0,1,294,-1,-1,8,-1,1
656,0,1,1,294,-1,-1,0,-1,0
657,1,0,1,299,-1,-1,8,-1,1
658,0,1,1,298,-1,-1,0,-1,0
659,0,1,1,293,-1,-1,0,-1,0
