protocal,count,port,flag,type,attack,srcip
6,6,34490,24,-1,0,-1
6,8,443,24,-1,0,-1
6,1,443,24,-1,0,-1
6,4,34490,16,-1,0,-1
6,1,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,1,443,16,-1,0,-1
6,1,47408,16,-1,0,-1
6,45,443,16,-1,0,-1
6,2,33552,16,-1,0,-1
6,85,43350,16,-1,0,-1
6,1,56936,16,-1,0,-1
6,1,443,24,-1,0,-1
6,1,443,17,-1,0,-1
6,1,443,24,-1,0,-1
6,1,44790,16,-1,0,-1
6,23,43350,24,-1,0,-1
6,1,80,16,-1,0,-1
6,4,443,24,-1,0,-1
6,1,56936,24,-1,0,-1
6,1,33552,25,-1,0,-1
17,4,53,-1,-1,0,-1
6,11,443,24,-1,0,-1
6,65,443,16,-1,0,-1
6,6,443,16,-1,0,-1
6,189,43350,16,-1,0,-1
6,1,443,16,-1,0,-1
6,10,44790,24,-1,0,-1
6,11,44790,16,-1,0,-1
17,2,56953,-1,-1,0,-1
17,4,33035,-1,-1,0,-1
17,2,53,-1,-1,0,-1
6,43,43350,24,-1,0,-1
6,4,34490,24,-1,0,-1
6,2,443,24,-1,0,-1
6,1,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
17,8,53,-1,-1,0,-1
6,15,443,24,-1,0,-1
6,79,443,16,-1,0,-1
6,7,443,16,-1,0,-1
6,201,43350,16,-1,0,-1
6,7,54752,24,-1,0,-1
6,2,443,24,-1,0,-1
6,1,443,16,-1,0,-1
6,13,44790,24,-1,0,-1
6,11,443,16,-1,0,-1
6,15,44790,16,-1,0,-1
17,4,56953,-1,-1,0,-1
17,4,33035,-1,-1,0,-1
17,4,56631,-1,-1,0,-1
17,4,53,-1,-1,0,-1
6,17,54752,16,-1,0,-1
6,46,43350,24,-1,0,-1
6,4,34490,24,-1,0,-1
6,2,443,24,-1,0,-1
6,2,443,24,-1,0,-1
6,2,34490,16,-1,0,-1
17,8,53,-1,-1,0,-1
6,4,443,24,-1,0,-1
17,4,59366,-1,-1,0,-1
6,6,443,16,-1,0,-1
6,8,56514,24,-1,0,-1
6,1,47408,16,-1,0,-1
6,6,43334,16,-1,0,-1
6,1,56514,18,-1,0,-1
6,5,443,16,-1,0,-1
6,1,443,2,-1,0,-1
6,1,43334,18,-1,0,-1
6,1,43294,24,-1,0,-1
6,4,443,16,-1,0,-1
6,1,443,4,-1,0,-1
6,1,43334,25,-1,0,-1
